penghasilan,jumlah_tanggungan,kondisi_rumah,status_pekerjaan,pendidikan,lama_tinggal_tahun,layak_subsidi
756508,4,sederhana,buruh harian,SMP,23,1
1303591,4,sederhana,petani,SD,18,1
1396942,5,sederhana,petani,SMA,24,1
606530,3,sederhana,buruh harian,SD,22,1
1104365,2,sederhana,buruh harian,SD,19,1
960337,3,tidak layak,buruh harian,SD,7,0
1305889,2,tidak layak,tidak bekerja,SD,7,1
708261,6,tidak layak,petani,SMP,20,1
1889673,7,tidak layak,tidak bekerja,SMA,23,1
1863715,3,tidak layak,buruh harian,SD,6,1
1720405,2,tidak layak,buruh harian,SD,14,1
771836,5,sederhana,buruh harian,SD,14,1
1987550,2,sederhana,petani,SD,5,1
1489913,6,sederhana,tidak bekerja,SD,24,1
702283,2,tidak layak,buruh harian,SMP,8,1
696769,7,sederhana,buruh harian,SD,16,1
1061353,3,sederhana,buruh harian,SMP,6,1
1771741,2,tidak layak,buruh harian,SD,19,1
1546797,3,tidak layak,petani,SD,20,1
1450110,6,tidak layak,petani,SD,9,0
987879,2,tidak layak,buruh harian,SMP,23,1
1064685,2,tidak layak,tidak bekerja,SMP,18,1
1282038,6,tidak layak,buruh harian,SD,22,1
1902107,7,tidak layak,buruh harian,SMP,14,1
1811736,2,sederhana,tidak bekerja,SD,6,1
1507293,3,tidak layak,buruh harian,SMA,12,1
1079879,7,tidak layak,petani,SMA,19,1
1769460,4,sederhana,petani,SMA,13,1
523247,7,tidak layak,buruh harian,SMP,5,1
1572876,4,tidak layak,buruh harian,SD,11,1
1107086,3,sederhana,petani,SMA,5,1
1033556,2,tidak layak,petani,SD,22,1
1897527,3,tidak layak,petani,SD,14,0
1822905,6,sederhana,buruh harian,SMA,22,1
1242139,3,sederhana,buruh harian,SD,13,1
932315,4,tidak layak,petani,SMA,11,1
1426075,7,sederhana,buruh harian,SMA,17,1
1016588,5,sederhana,tidak bekerja,SD,24,0
1785160,6,sederhana,tidak bekerja,SD,18,1
1478732,2,sederhana,buruh harian,SMA,21,1
1925472,7,tidak layak,buruh harian,SD,11,1
548984,3,tidak layak,buruh harian,SMP,5,0
802918,6,tidak layak,buruh harian,SD,8,1
764712,4,sederhana,petani,SD,16,1
1668727,2,sederhana,buruh harian,SD,7,1
633767,3,sederhana,petani,SMP,22,1
1148663,7,tidak layak,petani,SD,24,1
636330,3,tidak layak,buruh harian,SD,15,1
980754,2,sederhana,buruh harian,SMP,8,1
1850224,7,tidak layak,buruh harian,SMA,5,1
513986,5,tidak layak,tidak bekerja,SD,16,1
1086146,5,sederhana,tidak bekerja,SD,5,1
1677888,6,sederhana,petani,SD,5,1
512666,3,tidak layak,buruh harian,SD,19,1
1849380,6,tidak layak,buruh harian,SMP,18,1
634633,2,tidak layak,petani,SD,15,1
788998,7,sederhana,buruh harian,SMA,14,0
1350937,6,tidak layak,buruh harian,SMP,10,1
1128776,3,tidak layak,buruh harian,SD,21,1
1833382,5,sederhana,tidak bekerja,SD,24,1
1579111,5,tidak layak,buruh harian,SD,13,1
1496107,2,sederhana,petani,SD,17,1
1924289,4,tidak layak,tidak bekerja,SMP,6,1
1338688,6,tidak layak,petani,SD,11,1
851279,2,tidak layak,buruh harian,SD,17,1
1413910,5,tidak layak,buruh harian,SMP,17,1
989570,3,sederhana,buruh harian,SD,5,1
1821685,3,tidak layak,petani,SMP,9,1
524538,7,tidak layak,petani,SD,9,1
1394498,4,tidak layak,buruh harian,SD,15,1
701664,4,tidak layak,buruh harian,SD,15,1
991234,5,tidak layak,petani,SD,18,1
639182,4,tidak layak,petani,SMP,22,1
1706914,4,tidak layak,buruh harian,SD,9,1
684064,3,tidak layak,buruh harian,SMP,9,1
714020,7,tidak layak,buruh harian,SMP,24,1
1539577,6,sederhana,petani,SD,11,1
1123094,3,tidak layak,buruh harian,SD,22,1
1397421,7,tidak layak,buruh harian,SD,24,1
1115270,3,tidak layak,buruh harian,SMP,10,1
1667752,5,sederhana,buruh harian,SD,14,1
1417710,7,tidak layak,petani,SD,17,1
1766702,7,sederhana,buruh harian,SMP,7,1
718969,5,tidak layak,tidak bekerja,SMP,7,1
622409,7,tidak layak,tidak bekerja,SMP,9,0
753618,6,sederhana,buruh harian,SD,21,1
1269598,2,tidak layak,petani,SD,22,1
1598591,4,sederhana,buruh harian,SD,6,1
1272838,7,tidak layak,petani,SD,10,1
1670672,4,tidak layak,buruh harian,SMP,10,1
1733916,3,tidak layak,petani,SMP,9,1
1659263,3,tidak layak,buruh harian,SD,13,1
1374371,7,tidak layak,buruh harian,SD,5,1
1959933,7,sederhana,buruh harian,SMP,10,1
1235716,7,sederhana,petani,SMA,12,1
1654454,6,tidak layak,buruh harian,SMP,22,1
1473548,7,tidak layak,tidak bekerja,SMP,23,1
1746862,4,tidak layak,buruh harian,SMP,17,1
1273290,3,tidak layak,buruh harian,SMP,14,0
1713475,3,sederhana,petani,SMP,17,0
1873343,7,sederhana,buruh harian,SD,22,1
1499238,5,sederhana,buruh harian,SD,22,1
1361882,2,tidak layak,buruh harian,SD,20,1
879989,7,tidak layak,petani,SD,20,1
915515,6,sederhana,petani,SMA,10,1
543585,2,tidak layak,tidak bekerja,SMP,8,1
1919945,2,sederhana,buruh harian,SD,11,1
564044,7,tidak layak,buruh harian,SD,6,1
1460061,6,tidak layak,petani,SD,24,1
942296,4,tidak layak,buruh harian,SD,20,1
609556,7,tidak layak,buruh harian,SMP,5,1
1267595,3,tidak layak,tidak bekerja,SMP,17,1
700235,6,sederhana,petani,SD,14,1
525939,3,tidak layak,tidak bekerja,SMP,14,1
1701482,7,tidak layak,petani,SMP,23,1
1042335,7,tidak layak,buruh harian,SMP,19,1
1836825,5,tidak layak,buruh harian,SMA,20,1
575766,2,tidak layak,buruh harian,SD,21,1
908923,5,tidak layak,buruh harian,SMA,19,1
1963768,2,tidak layak,petani,SD,16,1
1068550,4,sederhana,petani,SD,16,1
887261,6,sederhana,buruh harian,SD,24,1
1310208,4,sederhana,tidak bekerja,SMP,16,1
1185440,2,sederhana,tidak bekerja,SMP,20,1
1484346,7,sederhana,buruh harian,SD,6,1
637848,5,sederhana,buruh harian,SMA,22,1
1117075,2,tidak layak,buruh harian,SMP,18,1
627948,7,tidak layak,buruh harian,SMA,22,1
902690,4,sederhana,petani,SD,22,1
999046,7,sederhana,tidak bekerja,SMP,10,1
951269,7,sederhana,buruh harian,SD,13,1
521959,4,tidak layak,buruh harian,SD,7,0
728576,5,sederhana,buruh harian,SMA,22,1
1515602,7,sederhana,petani,SMP,9,1
1414091,5,sederhana,petani,SMA,10,1
665838,7,sederhana,buruh harian,SD,5,1
1884250,7,sederhana,petani,SD,18,1
561087,4,tidak layak,petani,SMP,15,0
1513343,2,tidak layak,buruh harian,SD,23,1
618451,2,sederhana,buruh harian,SD,23,0
1996176,6,tidak layak,petani,SD,24,1
939792,4,sederhana,tidak bekerja,SD,21,1
539353,6,tidak layak,tidak bekerja,SMP,7,1
693075,7,sederhana,buruh harian,SMP,16,1
1762859,4,tidak layak,tidak bekerja,SD,6,1
1863453,6,tidak layak,buruh harian,SD,5,1
565318,3,tidak layak,petani,SMA,14,1
1265313,2,tidak layak,buruh harian,SMP,9,1
916880,2,sederhana,petani,SMA,19,1
1091460,3,tidak layak,petani,SMP,14,1
1240976,5,sederhana,buruh harian,SMA,11,1
1281239,3,tidak layak,buruh harian,SMP,24,1
1641840,2,sederhana,buruh harian,SMA,15,1
1270746,4,tidak layak,buruh harian,SMA,14,1
1313168,6,tidak layak,petani,SD,17,1
725281,2,tidak layak,petani,SMP,22,1
1520545,3,tidak layak,buruh harian,SD,19,1
1398613,4,sederhana,petani,SD,18,1
1942646,2,tidak layak,petani,SD,23,1
1900804,3,tidak layak,buruh harian,SMA,9,1
1980415,2,tidak layak,buruh harian,SMP,8,0
769536,3,tidak layak,tidak bekerja,SD,22,1
817824,7,sederhana,petani,SD,5,1
1806002,3,tidak layak,buruh harian,SD,17,1
677789,2,tidak layak,buruh harian,SD,7,1
1242452,4,tidak layak,buruh harian,SMP,22,1
1337291,2,sederhana,buruh harian,SD,17,0
625657,2,sederhana,tidak bekerja,SD,8,1
1783743,7,tidak layak,petani,SD,15,0
1181669,4,tidak layak,buruh harian,SD,20,1
1619043,7,sederhana,petani,SMA,18,1
1732310,2,tidak layak,petani,SMP,22,1
609751,7,tidak layak,tidak bekerja,SMP,17,1
1929626,6,tidak layak,buruh harian,SMP,15,1
1311774,6,tidak layak,tidak bekerja,SMP,24,1
961079,6,sederhana,tidak bekerja,SMP,14,1
868452,3,tidak layak,buruh harian,SMP,5,1
606081,5,tidak layak,tidak bekerja,SD,13,1
1483237,7,tidak layak,buruh harian,SD,22,1
1058986,2,tidak layak,buruh harian,SD,15,1
610078,5,sederhana,buruh harian,SMA,20,1
522671,7,tidak layak,tidak bekerja,SD,13,1
1966976,6,sederhana,buruh harian,SMP,21,1
1904104,4,tidak layak,buruh harian,SD,9,1
551663,6,tidak layak,buruh harian,SD,23,1
1564284,2,tidak layak,buruh harian,SMP,20,1
811955,5,tidak layak,buruh harian,SMP,15,1
1682459,5,tidak layak,buruh harian,SD,22,1
1866970,7,tidak layak,buruh harian,SMA,20,1
612547,3,sederhana,buruh harian,SD,13,1
1410681,4,tidak layak,buruh harian,SD,18,1
642483,6,tidak layak,petani,SD,9,1
1158271,4,tidak layak,petani,SD,13,1
714835,2,tidak layak,buruh harian,SMP,20,1
901896,3,sederhana,buruh harian,SD,7,1
584896,6,sederhana,petani,SD,12,1
977095,2,tidak layak,petani,SD,14,1
571295,4,sederhana,petani,SD,16,1
1243974,3,tidak layak,tidak bekerja,SMP,12,1
1387121,6,tidak layak,buruh harian,SMP,17,1
1821831,4,tidak layak,buruh harian,SD,19,1
1848224,6,sederhana,petani,SD,5,0
1556731,3,tidak layak,buruh harian,SMA,19,1
1325816,3,tidak layak,buruh harian,SD,20,1
874705,4,tidak layak,buruh harian,SD,24,1
1054594,6,tidak layak,petani,SD,8,1
647718,5,tidak layak,petani,SD,13,1
1857563,2,tidak layak,buruh harian,SD,7,1
1145263,3,sederhana,petani,SD,19,1
1907321,6,sederhana,buruh harian,SMP,20,1
1508239,4,tidak layak,petani,SMP,11,1
607512,4,sederhana,petani,SD,16,1
647443,3,tidak layak,buruh harian,SMP,13,1
873616,7,tidak layak,buruh harian,SMP,24,1
1157409,3,tidak layak,petani,SMA,20,1
1186976,7,sederhana,buruh harian,SMA,11,1
1914447,5,tidak layak,tidak bekerja,SMP,6,1
875037,4,tidak layak,petani,SMA,21,1
1544107,6,tidak layak,petani,SD,21,0
1307364,7,sederhana,petani,SMP,9,1
617796,2,sederhana,buruh harian,SMP,6,1
1840575,2,sederhana,buruh harian,SD,17,1
1741082,5,tidak layak,petani,SD,6,1
1490198,7,tidak layak,tidak bekerja,SD,9,1
1198376,7,tidak layak,petani,SD,9,1
769544,6,tidak layak,buruh harian,SD,22,0
880002,2,tidak layak,tidak bekerja,SMA,17,1
1198002,2,tidak layak,petani,SD,10,1
1090978,6,sederhana,petani,SMP,19,1
1407317,7,tidak layak,petani,SD,9,1
888215,6,tidak layak,petani,SMP,15,1
821184,3,sederhana,tidak bekerja,SMP,21,1
1971091,2,sederhana,buruh harian,SMA,16,0
1168234,7,tidak layak,petani,SD,21,1
878480,2,sederhana,tidak bekerja,SD,19,1
532711,5,sederhana,tidak bekerja,SD,24,1
1291971,3,tidak layak,tidak bekerja,SMP,6,1
1001157,3,sederhana,petani,SD,17,1
684423,2,sederhana,tidak bekerja,SD,14,1
1016349,4,tidak layak,buruh harian,SMP,19,1
1412495,4,sederhana,buruh harian,SMP,14,1
1324792,6,sederhana,buruh harian,SMP,19,1
633272,3,sederhana,buruh harian,SMA,19,1
1267836,2,tidak layak,petani,SMP,23,1
1486001,7,tidak layak,buruh harian,SD,7,1
1202335,2,tidak layak,tidak bekerja,SD,23,1
1307789,2,tidak layak,buruh harian,SD,6,0
1626081,7,sederhana,tidak bekerja,SMA,7,1
502869,7,sederhana,petani,SMP,18,1
1281474,5,tidak layak,buruh harian,SMA,9,0
954351,4,sederhana,buruh harian,SD,9,1
1860828,5,tidak layak,petani,SMA,9,1
1136584,2,tidak layak,tidak bekerja,SMP,5,1
1118467,2,tidak layak,petani,SMA,17,1
1638848,3,tidak layak,tidak bekerja,SMP,6,1
538467,3,tidak layak,petani,SMP,16,1
1536685,4,tidak layak,buruh harian,SMP,17,1
1377844,7,sederhana,petani,SMA,24,1
980047,6,tidak layak,petani,SD,22,1
1607447,2,tidak layak,petani,SD,19,1
1439903,3,sederhana,buruh harian,SD,18,1
628391,4,tidak layak,petani,SMP,17,1
939430,5,sederhana,tidak bekerja,SD,10,1
1517026,2,tidak layak,tidak bekerja,SMP,14,1
756687,6,tidak layak,buruh harian,SMA,5,1
607450,4,tidak layak,petani,SD,9,1
671890,7,tidak layak,tidak bekerja,SMP,10,1
938741,6,sederhana,petani,SD,24,1
781974,2,tidak layak,buruh harian,SD,18,1
1948685,4,tidak layak,petani,SMP,24,1
616381,7,tidak layak,tidak bekerja,SD,7,1
634508,3,tidak layak,petani,SD,6,1
1947687,6,tidak layak,petani,SMA,13,1
1699386,5,tidak layak,buruh harian,SMA,17,1
1841466,5,tidak layak,petani,SMP,8,1
1340477,6,tidak layak,buruh harian,SMA,21,1
860032,2,tidak layak,tidak bekerja,SD,17,1
1546811,2,tidak layak,buruh harian,SMA,5,1
1918175,2,sederhana,buruh harian,SMA,18,1
1379611,5,sederhana,buruh harian,SD,16,1
1720412,5,sederhana,buruh harian,SD,18,1
1229903,3,tidak layak,buruh harian,SD,19,1
545714,2,tidak layak,buruh harian,SD,13,1
1474339,5,tidak layak,petani,SMP,14,1
1130271,5,sederhana,petani,SD,8,1
624123,2,sederhana,buruh harian,SD,17,1
1436093,2,sederhana,buruh harian,SMP,21,1
1854204,5,tidak layak,buruh harian,SD,22,1
1631565,7,tidak layak,tidak bekerja,SD,11,1
1846932,6,tidak layak,buruh harian,SD,19,0
1329957,5,tidak layak,buruh harian,SMA,20,1
678274,3,tidak layak,petani,SMP,20,1
1187995,4,tidak layak,buruh harian,SMA,15,1
1873928,7,sederhana,tidak bekerja,SMP,15,1
911927,2,sederhana,buruh harian,SD,18,1
1289852,3,tidak layak,buruh harian,SMA,22,1
631373,6,sederhana,buruh harian,SD,18,1
1987028,4,sederhana,petani,SMP,17,1
615294,7,tidak layak,buruh harian,SD,14,1
1535362,5,tidak layak,petani,SMA,7,1
1148307,2,sederhana,buruh harian,SMP,14,1
565726,5,tidak layak,petani,SMA,18,1
641564,3,sederhana,buruh harian,SD,22,1
1926388,2,tidak layak,buruh harian,SMP,9,1
768246,5,tidak layak,petani,SMP,16,1
618015,2,tidak layak,buruh harian,SMA,12,1
754079,3,tidak layak,buruh harian,SD,17,1
1050929,5,sederhana,buruh harian,SMA,8,1
1189944,4,tidak layak,petani,SMP,11,1
1188105,6,sederhana,petani,SD,24,0
1013758,5,sederhana,tidak bekerja,SD,12,1
1483609,2,sederhana,petani,SD,7,1
1914466,7,sederhana,buruh harian,SMA,20,1
1517703,5,tidak layak,buruh harian,SD,9,1
945101,2,sederhana,buruh harian,SD,24,1
536631,7,tidak layak,buruh harian,SD,23,1
1621567,3,tidak layak,buruh harian,SD,23,1
1552590,7,tidak layak,buruh harian,SD,22,1
1821813,6,tidak layak,petani,SD,14,1
1566646,2,tidak layak,petani,SD,17,1
1605534,5,tidak layak,petani,SD,23,1
1630650,7,tidak layak,tidak bekerja,SMP,18,1
1724665,3,tidak layak,tidak bekerja,SMP,5,1
697392,7,tidak layak,buruh harian,SMP,15,1
658823,4,tidak layak,petani,SMP,7,1
1523904,5,sederhana,buruh harian,SMA,8,1
1941578,6,tidak layak,petani,SMP,15,1
998863,3,tidak layak,petani,SD,5,1
867654,5,tidak layak,buruh harian,SMA,6,1
1079036,2,tidak layak,buruh harian,SD,17,1
1030089,2,sederhana,buruh harian,SD,14,1
1698838,2,tidak layak,buruh harian,SMA,16,1
1991481,5,sederhana,buruh harian,SD,16,1
735362,6,sederhana,buruh harian,SD,8,1
1992785,2,sederhana,petani,SD,9,1
1297079,5,tidak layak,petani,SMP,22,1
1164076,5,sederhana,buruh harian,SD,21,1
719963,6,tidak layak,buruh harian,SD,9,1
980761,3,sederhana,petani,SMP,15,0
1797286,3,sederhana,petani,SMP,8,1
720984,5,tidak layak,tidak bekerja,SMP,14,1
764512,3,tidak layak,buruh harian,SMA,10,1
1101863,4,tidak layak,buruh harian,SMP,21,1
1817375,6,sederhana,petani,SMA,17,1
1786125,5,sederhana,buruh harian,SMA,15,1
948982,3,tidak layak,buruh harian,SMP,14,1
1672622,7,sederhana,buruh harian,SD,6,1
906619,3,sederhana,tidak bekerja,SD,5,1
1580673,6,sederhana,buruh harian,SD,17,1
1496161,7,tidak layak,buruh harian,SD,16,1
1166326,2,tidak layak,tidak bekerja,SD,23,1
1149150,3,sederhana,tidak bekerja,SMA,24,1
1778805,7,tidak layak,petani,SD,15,1
618834,6,tidak layak,petani,SD,10,0
1642424,7,sederhana,tidak bekerja,SMA,21,1
1601497,2,sederhana,petani,SMP,18,1
1205086,7,tidak layak,buruh harian,SD,14,1
784821,5,tidak layak,tidak bekerja,SD,14,1
555609,2,sederhana,petani,SMP,15,1
727897,3,tidak layak,buruh harian,SMP,5,1
1474165,5,tidak layak,buruh harian,SD,6,1
1579600,5,sederhana,petani,SMP,15,1
1525715,2,tidak layak,tidak bekerja,SMA,23,0
1618889,5,tidak layak,tidak bekerja,SMA,12,1
1938533,2,tidak layak,buruh harian,SMP,15,1
684078,2,tidak layak,tidak bekerja,SD,13,1
1906005,7,sederhana,buruh harian,SMP,12,1
961243,2,sederhana,petani,SMP,18,1
1662208,6,tidak layak,buruh harian,SD,19,1
1497639,3,tidak layak,petani,SMA,6,1
751451,5,tidak layak,petani,SMP,20,1
503051,4,tidak layak,tidak bekerja,SD,9,1
1925412,7,sederhana,petani,SD,19,1
1504646,3,tidak layak,petani,SD,11,1
1471525,4,sederhana,tidak bekerja,SD,14,1
689407,2,tidak layak,buruh harian,SD,24,1
949395,5,tidak layak,buruh harian,SD,6,1
1449597,7,tidak layak,buruh harian,SD,11,1
962894,3,sederhana,buruh harian,SD,11,1
1760386,4,tidak layak,buruh harian,SMP,6,1
1457238,4,tidak layak,buruh harian,SD,20,0
1227975,4,tidak layak,buruh harian,SMP,20,1
573523,3,sederhana,buruh harian,SMP,7,1
1643052,6,sederhana,buruh harian,SD,11,1
1782417,2,tidak layak,buruh harian,SD,18,1
1303451,5,tidak layak,petani,SMP,21,1
1529225,4,tidak layak,tidak bekerja,SMP,12,1
1370045,7,sederhana,buruh harian,SMP,20,1
722866,3,sederhana,petani,SD,22,1
1635248,7,tidak layak,buruh harian,SD,13,1
1893470,4,sederhana,tidak bekerja,SMP,18,1
528251,3,tidak layak,buruh harian,SD,5,1
1923286,7,tidak layak,buruh harian,SD,12,1
1580793,6,sederhana,petani,SD,17,1
1556884,4,tidak layak,tidak bekerja,SMA,11,1
1816669,4,sederhana,buruh harian,SMP,8,1
683062,5,tidak layak,buruh harian,SD,21,1
894366,3,tidak layak,petani,SD,13,1
1244840,3,tidak layak,tidak bekerja,SD,20,1
600235,6,sederhana,tidak bekerja,SD,16,1
1623316,4,tidak layak,tidak bekerja,SD,5,1
878496,5,tidak layak,buruh harian,SMP,11,1
1250201,7,tidak layak,buruh harian,SMP,11,1
1303328,2,tidak layak,petani,SMP,15,1
1543233,5,tidak layak,buruh harian,SMP,22,0
677247,7,tidak layak,buruh harian,SMP,21,1
1029525,5,tidak layak,buruh harian,SMA,8,1
1532751,7,tidak layak,buruh harian,SMA,16,1
1568632,5,sederhana,tidak bekerja,SMA,22,1
676615,5,tidak layak,petani,SD,24,1
687628,4,tidak layak,buruh harian,SD,17,1
1138836,5,tidak layak,petani,SMP,8,1
873632,7,sederhana,petani,SMP,6,1
1682991,7,tidak layak,buruh harian,SMA,24,1
906716,3,sederhana,tidak bekerja,SMA,9,1
946438,7,sederhana,buruh harian,SMA,7,1
1165022,3,sederhana,petani,SD,6,1
1041252,7,sederhana,buruh harian,SD,13,1
752764,5,tidak layak,buruh harian,SMP,22,1
1214998,7,tidak layak,petani,SMA,19,1
1240427,3,tidak layak,tidak bekerja,SD,12,1
1012153,4,sederhana,tidak bekerja,SMA,16,1
567215,2,tidak layak,tidak bekerja,SMA,10,1
644356,5,sederhana,tidak bekerja,SMP,12,1
703861,7,tidak layak,buruh harian,SMP,24,1
1502168,3,sederhana,tidak bekerja,SD,9,1
855612,3,sederhana,tidak bekerja,SMP,12,1
509435,4,tidak layak,buruh harian,SMP,19,1
947556,7,sederhana,petani,SD,21,1
1365264,4,tidak layak,buruh harian,SMP,18,1
578781,2,sederhana,petani,SMP,15,1
691475,7,sederhana,buruh harian,SD,10,1
660196,6,sederhana,petani,SD,14,1
726507,6,tidak layak,tidak bekerja,SD,8,1
806063,7,tidak layak,buruh harian,SD,22,1
1264121,6,sederhana,buruh harian,SMP,10,0
1276665,2,sederhana,buruh harian,SMA,12,1
1669748,5,tidak layak,tidak bekerja,SD,14,1
1905478,6,sederhana,buruh harian,SD,21,1
984963,6,tidak layak,tidak bekerja,SMP,8,1
1867293,7,tidak layak,petani,SD,24,1
1607677,3,sederhana,buruh harian,SMA,23,1
788790,3,tidak layak,buruh harian,SD,10,1
1390617,5,tidak layak,buruh harian,SD,16,1
1047337,7,sederhana,buruh harian,SMP,15,1
1908836,4,tidak layak,buruh harian,SMP,18,1
1150419,2,tidak layak,petani,SD,22,1
933374,6,tidak layak,buruh harian,SMP,10,1
1220777,7,tidak layak,buruh harian,SD,20,1
1920946,7,tidak layak,petani,SMA,10,1
1387225,2,sederhana,petani,SMA,10,1
771967,3,sederhana,buruh harian,SMP,14,1
691232,2,tidak layak,buruh harian,SD,12,1
1852695,3,sederhana,buruh harian,SMP,14,1
509540,2,sederhana,tidak bekerja,SMP,24,0
1946403,3,tidak layak,buruh harian,SD,23,1
1051951,2,tidak layak,petani,SD,19,1
1600567,6,sederhana,petani,SD,11,1
688751,6,tidak layak,petani,SD,9,1
1914902,5,tidak layak,buruh harian,SD,14,1
1118992,2,sederhana,tidak bekerja,SD,23,1
549115,4,sederhana,buruh harian,SD,8,1
1901727,5,sederhana,buruh harian,SMP,15,1
1243583,2,tidak layak,petani,SMP,23,0
1740538,4,sederhana,tidak bekerja,SMA,23,1
1221747,6,sederhana,petani,SD,6,1
1697719,6,tidak layak,buruh harian,SD,22,1
1036226,7,sederhana,tidak bekerja,SD,19,1
1452699,6,tidak layak,buruh harian,SMA,10,1
853824,7,tidak layak,buruh harian,SMP,11,1
1552576,4,sederhana,buruh harian,SMA,19,1
1225948,3,tidak layak,buruh harian,SMP,24,1
1387474,2,tidak layak,buruh harian,SMP,10,1
1904330,5,tidak layak,petani,SD,12,1
751492,7,tidak layak,buruh harian,SD,8,1
991072,5,tidak layak,buruh harian,SMA,12,1
1586880,6,tidak layak,petani,SD,5,1
1004999,3,tidak layak,petani,SD,19,1
831593,7,tidak layak,tidak bekerja,SMP,12,1
1107274,2,tidak layak,buruh harian,SMA,8,1
651836,7,sederhana,buruh harian,SD,7,1
608940,2,sederhana,buruh harian,SD,17,1
1503531,5,tidak layak,buruh harian,SMA,24,1
1324926,5,tidak layak,buruh harian,SMA,13,1
1814093,5,tidak layak,tidak bekerja,SD,14,1
1167521,2,tidak layak,buruh harian,SMP,8,1
1379090,7,sederhana,tidak bekerja,SD,13,1
885777,5,sederhana,petani,SMA,17,1
1051638,2,tidak layak,buruh harian,SMP,20,1
1049639,6,tidak layak,buruh harian,SD,23,1
1112956,7,tidak layak,buruh harian,SMP,14,1
1138873,7,tidak layak,buruh harian,SD,6,1
1886073,7,tidak layak,petani,SD,20,1
1756445,3,sederhana,buruh harian,SMP,14,0
565953,5,tidak layak,buruh harian,SD,11,1
1000328,2,sederhana,petani,SMP,7,1
503267,6,sederhana,petani,SMP,22,0
582745,4,tidak layak,tidak bekerja,SMA,17,1
1324945,6,tidak layak,buruh harian,SD,22,1
657164,3,sederhana,buruh harian,SMP,17,1
1035626,6,tidak layak,buruh harian,SMP,21,1
631484,5,tidak layak,buruh harian,SD,7,1
1031831,5,sederhana,tidak bekerja,SMP,21,1
1392323,4,tidak layak,buruh harian,SD,14,1
1609268,7,tidak layak,buruh harian,SD,14,1
